PING 192.168.2.101 (192.168.2.101) 56(84) bytes of data.
64 bytes from 192.168.2.101: icmp_seq=98 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=99 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=100 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=101 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=102 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=103 ttl=128 time=1.55 ms
64 bytes from 192.168.2.101: icmp_seq=104 ttl=128 time=2.00 ms
64 bytes from 192.168.2.101: icmp_seq=105 ttl=128 time=19.9 ms
64 bytes from 192.168.2.101: icmp_seq=106 ttl=128 time=1.90 ms
64 bytes from 192.168.2.101: icmp_seq=107 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=108 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=109 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=110 ttl=128 time=3.91 ms
64 bytes from 192.168.2.101: icmp_seq=111 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=112 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=113 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=114 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=115 ttl=128 time=1.48 ms
64 bytes from 192.168.2.101: icmp_seq=116 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=117 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=118 ttl=128 time=2.13 ms
64 bytes from 192.168.2.101: icmp_seq=119 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=120 ttl=128 time=2.10 ms
64 bytes from 192.168.2.101: icmp_seq=121 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=122 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=123 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=124 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=125 ttl=128 time=1.57 ms
64 bytes from 192.168.2.101: icmp_seq=126 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=127 ttl=128 time=1.67 ms
64 bytes from 192.168.2.101: icmp_seq=128 ttl=128 time=1.57 ms
64 bytes from 192.168.2.101: icmp_seq=129 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=130 ttl=128 time=2.31 ms
64 bytes from 192.168.2.101: icmp_seq=131 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=132 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=133 ttl=128 time=3.47 ms
64 bytes from 192.168.2.101: icmp_seq=134 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=135 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=136 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=137 ttl=128 time=2.01 ms
64 bytes from 192.168.2.101: icmp_seq=138 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=139 ttl=128 time=1.95 ms
64 bytes from 192.168.2.101: icmp_seq=140 ttl=128 time=1.68 ms
64 bytes from 192.168.2.101: icmp_seq=141 ttl=128 time=2.26 ms
64 bytes from 192.168.2.101: icmp_seq=142 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=143 ttl=128 time=1.90 ms
64 bytes from 192.168.2.101: icmp_seq=144 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=145 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=146 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=147 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=148 ttl=128 time=2.55 ms
64 bytes from 192.168.2.101: icmp_seq=149 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=150 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=151 ttl=128 time=12.3 ms
64 bytes from 192.168.2.101: icmp_seq=152 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=153 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=154 ttl=128 time=2.07 ms
64 bytes from 192.168.2.101: icmp_seq=155 ttl=128 time=1.59 ms
64 bytes from 192.168.2.101: icmp_seq=156 ttl=128 time=3.71 ms
64 bytes from 192.168.2.101: icmp_seq=157 ttl=128 time=1.88 ms
64 bytes from 192.168.2.101: icmp_seq=158 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=159 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=160 ttl=128 time=1.95 ms
64 bytes from 192.168.2.101: icmp_seq=161 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=162 ttl=128 time=1.64 ms
64 bytes from 192.168.2.101: icmp_seq=163 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=164 ttl=128 time=2.10 ms
64 bytes from 192.168.2.101: icmp_seq=165 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=166 ttl=128 time=1.94 ms
64 bytes from 192.168.2.101: icmp_seq=167 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=168 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=169 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=170 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=171 ttl=128 time=1.80 ms
