All calculations,Synchronous Machine
"Time in s","Terminal Voltage in p.u."
8.279000,1.103856
8.297000,1.105113
8.315000,1.106263
8.333000,1.107291
8.351000,1.108186
8.369000,1.108939
8.387000,1.109544
8.405000,1.109999
8.423000,1.110301
8.441000,1.110452
8.459000,1.110455
8.477000,1.110313
8.495000,1.110033
8.513000,1.109620
8.531000,1.109082
8.549000,1.108426
8.567000,1.107660
8.585000,1.106790
8.603000,1.105827
8.621000,1.104779
8.639000,1.103654
8.657000,1.102464
8.675000,1.101220
8.693000,1.099933
8.711000,1.098616
8.729000,1.097284
8.747000,1.095950
8.765000,1.094632
8.783000,1.093345
8.801000,1.092108
8.819000,1.090938
8.837000,1.089852
8.855000,1.088869
8.873000,1.088006
8.891000,1.087277
8.909000,1.086698
8.927000,1.086281
8.945000,1.086036
8.963000,1.085969
8.981000,1.086086
8.999000,1.086387
9.017000,1.086869
9.035000,1.087528
9.053000,1.088353
9.071000,1.089332
9.089000,1.090450
9.107000,1.091687
9.125000,1.093023
9.143000,1.094436
9.161000,1.095900
9.179000,1.097390
9.197000,1.098882
9.215000,1.100356
9.233000,1.101787
9.251000,1.103157
9.269000,1.104445
9.287000,1.105635
9.305000,1.106711
9.323000,1.107661
9.341000,1.108475
9.359000,1.109146
9.377000,1.109669
9.395000,1.110042
9.413000,1.110265
9.431000,1.110339
9.449000,1.110269
9.467000,1.110058
9.485000,1.109713
9.503000,1.109241
9.521000,1.108648
9.539000,1.107942
9.557000,1.107130
9.575000,1.106221
9.593000,1.105222
9.611000,1.104145
9.629000,1.102997
9.647000,1.101790
9.665000,1.100535
9.683000,1.099244
9.701000,1.097932
9.719000,1.096611
9.737000,1.095298
9.755000,1.094008
9.773000,1.092759
9.791000,1.091568
9.809000,1.090453
9.827000,1.089431
9.845000,1.088519
9.863000,1.087733
9.881000,1.087089
9.899000,1.086599
9.917000,1.086275
9.935000,1.086124
9.953000,1.086152
9.971000,1.086363
9.989000,1.086754
